,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
0,상의,셔츠/블라우스,오버사이즈 16골 에센셜 코듀로이 셔츠 블랙,22FWGS28BK,1,0,2,0.0,"('29~33세', 0)",1200.0,493,39800.0,20,19.0,4.6,36,50.0
1,상의,니트/스웨터,TD5-SW01 램스울 라운드 니트-만다린오렌지,TD5-SW01_MAO,1,0,0,0.0,"('29~33세', 0)",4900.0,650,53550.0,10,5.0,4.9,61,200.0
2,상의,후드 티셔츠,[SET UP] PPP 플라워 후드 셋업_멜란지 그레이,KBCS1TH003MGKBCS1PL003MGKBCS1PS003MG,1,0,2,1.0,"('19~23세', 0)",3600.0,2536,49900.0,49,5.0,4.8,41,150.0
3,상의,후드 티셔츠,TIE DYE 후드티 Olive Green,CTTZPHD01UG4,0,0,0,0.0,"('40세~', 0)",1000.0,569,19800.0,80,5.0,4.8,62,150.0
4,상의,긴소매 티셔츠,essential turtleneck logo top - pink,BT23WTS002PIKF,1,0,1,1.0,"('24~28세', 0)",11000.0,2561,43000.0,0,28.0,4.8,34,100.0
5,상의,니트/스웨터,린넨 코튼 니트 후디 DUSTY GREEN,IM2C2KT03GE,1,0,0,0.0,"('24~28세', 0)",2800.0,442,108000.0,30,5.0,4.9,12,50.0
6,상의,긴소매 티셔츠,Emb Logo Waffle LS Tee Off White,20230822-10,1,0,0,0.0,"('29~33세', 0)",2400.0,206,38000.0,41,5.0,5.0,14,50.0
7,상의,니트/스웨터,그레이 세미오버핏 풀 집업 니트 (TNSW3F205G2),TNSW3F205G2,0,0,0,0.0,"('29~33세', 0)",3700.0,553,119200.0,20,5.0,4.8,33,100.0
8,상의,니트/스웨터,COTTON 100% 피셔맨 버튼 카라 니트,23FM,1,0,0,0.0,"('24~28세', 0)",1400.0,566,45900.0,42,6.0,4.9,77,150.0
9,상의,니트/스웨터,남성 와펜 패치 니트 - 그린 / 7815507D8V0053,7815507D8V0053SS23,0,0,0,,"('~18세', 0)",3100.0,139,310000.0,54,6.0,4.8,6,
10,상의,후드 티셔츠,CGP 아치 로고 후디_인디핑크,CBDAUTH100IP,1,0,2,1.0,"('19~23세', 0)",3300.0,4318,59900.0,13,6.0,4.6,36,250.0
11,상의,피케/카라 티셔츠,릴렉스드 더블코튼 카라 긴팔티 (블랙),BR574,0,1,0,0.0,"('24~28세', 0)",1900.0,780,27900.0,22,5.0,4.9,95,400.0
12,상의,후드 티셔츠,TC3-TS01 데일리 스웻 후드-와인,TC3-TS01,1,0,2,0.0,"('19~23세', 0)",2400.0,1003,75700.0,0,5.0,4.7,64,50.0
13,상의,셔츠/블라우스,오픈카라 스트링 체크셔츠_브라운,5000109237,0,0,0,0.0,"('19~23세', 0)",950.0,506,37425.0,25,5.0,4.7,16,50.0
14,상의,기타 상의,빈티지 파이핑 윈드브레이커_네이비,93231WWT1001F,1,0,2,1.0,"('24~28세', 0)",3000.0,2162,63750.0,25,5.0,4.8,32,250.0
15,상의,니트/스웨터,V-Strap Knit Pullover SK3SP139-03,SK3SP1390_03,0,0,1,1.0,"('24~28세', 0)",500.0,1124,139000.0,0,5.0,4.8,19,50.0
16,상의,피케/카라 티셔츠,(올시즌) 핀턱 카라 하프 PK 셔츠_5COLOR,ABCUTS48,0,1,2,0.0,"('24~28세', 0)",1700.0,5131,36900.0,10,12.0,4.8,807,3800.0
17,상의,니트/스웨터,소프트 루즈 브이넥 니트 - 네이비,adaul0001,0,0,1,1.0,"('24~28세', 0)",2200.0,1992,72900.0,10,7.0,4.9,23,100.0
